fold_id,role,horizon_days,axis,statistical_status,availability_status,evaluable,issue_count,magnitude_bin,issue_target_pair_count,unique_event_count,episode_sampling_status,touched_episode_count,anchor_target_count,subsequent_target_event_count,episode_balanced_total_weight
C_DEV_2015_2019,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m6_plus,1,1,formal_fixed_anchor_episode_population,1,1,0,1.0
C_DEV_2015_2019,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m4_plus,2021,475,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m5_6,290,70,formal_fixed_anchor_episode_population,63,63,7,63.0
C_DEV_2015_2019,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m6_plus,48,11,formal_fixed_anchor_episode_population,11,11,0,11.0
C_DEV_2015_2019,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m4_plus,243,243,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m5_6,35,35,formal_fixed_anchor_episode_population,34,32,3,32.25
C_DEV_2015_2019,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m6_plus,6,6,formal_fixed_anchor_episode_population,6,6,0,6.0
C_DEV_2015_2019,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,249,m4_plus,5799,475,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,249,m5_6,838,70,formal_fixed_anchor_episode_population,63,63,7,63.0
C_DEV_2015_2019,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,249,m6_plus,141,11,formal_fixed_anchor_episode_population,11,11,0,11.0
C_DEV_2015_2019,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m4_plus,339,339,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m5_6,48,48,formal_fixed_anchor_episode_population,45,44,4,43.75
C_DEV_2015_2019,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m6_plus,9,9,formal_fixed_anchor_episode_population,9,9,0,9.0
C_DEV_2015_2019,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,236,m4_plus,11024,475,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,236,m5_6,1551,70,formal_fixed_anchor_episode_population,63,63,7,63.0
C_DEV_2015_2019,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,236,m6_plus,283,11,formal_fixed_anchor_episode_population,11,11,0,11.0
C_DEV_2015_2019,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m4_plus,370,370,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m5_6,55,55,formal_fixed_anchor_episode_population,50,49,6,49.5
C_DEV_2015_2019,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m6_plus,10,10,formal_fixed_anchor_episode_population,10,10,0,10.0
